epoch,loss,val_loss,lr
1,69.40828125,56.21875,0.0001
2,36.8459375,54.5010775862069,0.0001
3,34.23625,54.07165948275862,0.0001
4,33.39296875,51.82058189655172,0.0001
5,32.92578125,51.16594827586207,0.0001
6,32.61234375,49.027478448275865,0.0001
7,32.18859375,48.785021551724135,0.0001
8,31.86734375,48.739762931034484,0.0001
9,32.06421875,48.13577586206897,0.0001
10,31.543359375,48.71066810344828,0.0001
11,31.416953125,48.27532327586207,0.0001
12,32.98875,48.313038793103445,0.0001
13,31.259140625,47.57974137931034,0.0001
14,31.288359375,48.496228448275865,0.0001
15,30.913828125,47.327586206896555,0.0001
16,30.902578125,47.757004310344826,0.0001
17,30.81296875,50.43588362068966,0.0001
18,30.7071875,47.439655172413794,0.0001
19,30.76375,47.3739224137931,0.0001
20,30.58546875,48.060344827586206,0.0001
21,30.914609375,46.93911637931034,5e-05
22,30.434140625,46.96390086206897,5e-05
23,30.45,47.741379310344826,5e-05
24,30.34640625,47.51239224137931,5e-05
25,30.333203125,47.11260775862069,5e-05
26,30.427734375,46.95635775862069,5e-05
27,30.535,46.78879310344828,2.5e-05
28,30.331015625,47.04364224137931,2.5e-05
29,30.4046875,46.82381465517241,2.5e-05
30,30.3871875,46.97952586206897,2.5e-05
31,30.310625,46.939655172413794,2.5e-05
32,30.357578125,46.999461206896555,2.5e-05
33,31.7278125,46.77316810344828,1.25e-05
34,30.198359375,46.819504310344826,1.25e-05
35,30.10671875,46.74191810344828,1.25e-05
36,30.1458984375,46.95905172413793,1.25e-05
37,30.33609375,46.86530172413793,1.25e-05
38,30.316484375,46.85129310344828,1.25e-05
39,30.199609375,46.89655172413793,1.25e-05
40,30.3684375,46.73868534482759,1.25e-05
41,30.33515625,47.142780172413794,1.25e-05
42,30.228515625,46.69342672413793,1.25e-05
43,30.135078125,46.760237068965516,1.25e-05
44,30.181640625,46.92780172413793,1.25e-05
45,30.2459375,46.91540948275862,1.25e-05
46,30.037578125,46.64385775862069,1.25e-05
47,30.0646875,46.694504310344826,1.25e-05
48,30.36375,46.5926724137931,1.25e-05
49,30.032734375,46.80495689655172,1.25e-05
50,30.059296875,46.66594827586207,1.25e-05
51,30.11015625,46.732219827586206,1.25e-05
52,30.114375,46.78933189655172,1.25e-05
53,30.062578125,46.69396551724138,1.25e-05
54,30.213515625,46.625538793103445,6.25e-06
55,30.336953125,46.622844827586206,6.25e-06
56,30.086484375,46.711745689655174,6.25e-06
57,30.1296875,46.678879310344826,6.25e-06
58,30.232109375,46.57327586206897,6.25e-06
59,30.497265625,46.730603448275865,6.25e-06
60,30.060390625,46.77209051724138,6.25e-06
61,30.207109375,46.63793103448276,6.25e-06
62,29.968359375,46.882004310344826,6.25e-06
63,30.016015625,46.63739224137931,6.25e-06
64,30.033828125,46.67672413793103,3.125e-06
65,30.0703125,46.64870689655172,3.125e-06
66,30.085078125,46.65625,3.125e-06
67,29.93921875,46.67995689655172,3.125e-06
68,29.96203125,46.66594827586207,3.125e-06
69,30.017890625,46.654094827586206,1.5625e-06
70,30.038046875,46.68265086206897,1.5625e-06
71,29.9996875,46.66864224137931,1.5625e-06
72,30.03453125,46.64224137931034,1.5625e-06
73,29.923203125,46.60506465517241,1.5625e-06
